card_id,name,issuer_key,network,currency,is_business,annual_fee,first_year_fee_waived,base_earn_pct,bonus_amount,bonus_value_usd,bonus_spend,bonus_days,counts_toward_524,point_value_cents,url,discontinued,tccp_product_id
32a0c8c7eda25330e2c176589e386d7f,Southwest Plus,CHASE,VISA,SOUTHWEST,false,99.0,false,1.0,20000,200.0,4000,90,true,1.0,https://creditcards.chase.com/travel-credit-cards/southwest/plus,false,jpmorgan-chase-bank-southwest-rapid-rewards-plus-credit-card
76e73a4afe8dfc1f8f1be1e345d7eca8,Southwest Premier,CHASE,VISA,SOUTHWEST,false,149.0,false,1.0,30000,300.0,4000,90,true,1.0,https://creditcards.chase.com/travel-credit-cards/southwest/premier,false,jpmorgan-chase-bank-southwest-rapid-rewards-premier-credit-card
f86d26bad5af78feff0335845003c47e,Southwest Premier Business,CHASE,VISA,SOUTHWEST,true,149.0,false,1.0,60000,600.0,3000,90,false,1.0,https://creditcards.chase.com/business-credit-cards/southwest/premier-business,false,
169256a9988f3161381ee6a9ebe6667e,Southwest Priority,CHASE,VISA,SOUTHWEST,false,229.0,false,1.0,40000,400.0,3000,90,true,1.0,https://creditcards.chase.com/travel-credit-cards/southwest/priority,false,jpmorgan-chase-bank-southwest-rapid-rewards-priority-credit-card
8101f7827e3a1e797b09653f117b72d9,United Business,CHASE,VISA,UNITED,true,150.0,false,1.0,100000,1000.0,5000,90,false,1.0,https://www.theexplorercard.com/business-rewards-cards/business-card,false,
d2517ce6b72999e14f50c399347100ed,United Club,CHASE,VISA,UNITED,false,695.0,false,1.0,110000,1100.0,5000,90,true,1.0,https://www.theexplorercard.com/rewards-cards/club-card,false,jpmorgan-chase-bank-united-club-infinite-card
80c6aca49a0e1442d51635c316f4a5ff,United Club Business,CHASE,VISA,UNITED,true,695.0,false,1.0,100000,1000.0,5000,90,false,1.0,https://www.theexplorercard.com/business-rewards-cards/club-card,false,
85cd2b7d172e494eefad5b2ab012f21c,United Explorer,CHASE,VISA,UNITED,false,150.0,true,1.0,85000,850.0,3000,90,true,1.0,https://www.theexplorercard.com/rewards-cards/explorer-card,false,jpmorgan-chase-bank-united-explorer-card
4071699fe4b21cafb02cf8b2c9c57c86,United Gateway,CHASE,VISA,UNITED,false,0.0,false,1.0,30000,300.0,1000,90,true,1.0,https://www.theexplorercard.com/rewards-cards/gateway-card,false,jpmorgan-chase-bank-united-gateway-card
34ab99720941eaa2a1671e5b3a996b19,United Quest,CHASE,VISA,UNITED,false,350.0,false,1.0,100000,1000.0,4000,90,true,1.0,https://www.theexplorercard.com/rewards-cards/quest-card,false,jpmorgan-chase-bank-united-quest-card
8ec7f405d03afa62eaeea7e197a29e8a,Ink Business Cash,CHASE,VISA,CHASE,true,0.0,false,1.0,75000,750.0,6000,180,false,1.0,https://creditcards.chase.com/business-credit-cards/ink/cash,false,
c80cdb77c3eda940e2a36abb4f943c69,Ink Business Preferred,CHASE,VISA,CHASE,true,95.0,false,1.0,100000,1000.0,8000,90,false,1.0,https://creditcards.chase.com/business-credit-cards/ink/business-preferred,false,
4a1c1e46f145b76fcc72ebd391fc5766,Ink Business Unlimited,CHASE,VISA,CHASE,true,0.0,false,1.0,75000,750.0,6000,180,false,1.0,https://creditcards.chase.com/business-credit-cards/ink/unlimited,false,
94c9b624738adce05fbe0e5bfc5d620e,Ink Business Premier,CHASE,VISA,USD,true,195.0,false,2.0,1000,1000.0,10000,90,false,,https://creditcards.chase.com/business-credit-cards/ink/premier,false,
40192e08e31f059d91a108ff09ec5dd5,IHG Premier,CHASE,MASTERCARD,IHG,false,99.0,false,1.0,140000,700.0,3000,90,true,0.5,https://creditcards.chase.com/travel-credit-cards/ihg-rewards-club/premier,false,jpmorgan-chase-bank-ihg-premier
bc82fb7022c639f90b9378410127b9e6,IHG Premier Business,CHASE,MASTERCARD,IHG,true,99.0,false,1.0,200000,1000.0,9000,90,false,0.5,https://creditcards.chase.com/business-credit-cards/IHG/business-premier,false,
2c6c7e215b4a1e791250d1fb48997e02,IHG Traveler,CHASE,MASTERCARD,IHG,false,0.0,false,1.0,80000,400.0,2000,90,true,0.5,https://creditcards.chase.com/travel-credit-cards/ihg-rewards-club/traveler,false,jpmorgan-chase-bank-ihg-traveler
57f8a819c3bb4c6aa494016703281f35,Sapphire Preferred,CHASE,VISA,CHASE,false,95.0,false,1.0,75000,750.0,5000,90,true,1.0,https://creditcards.chase.com/rewards-credit-cards/sapphire/preferred,false,jpmorgan-chase-bank-sapphire-preferred
77e3ef2fc9c35498ba1a3f46a63235cb,Sapphire Reserve,CHASE,VISA,CHASE,false,795.0,false,1.0,150000,1500.0,6000,90,true,1.0,https://creditcards.chase.com/rewards-credit-cards/sapphire/reserve,false,jpmorgan-chase-bank-sapphire-reserve
5d8c589d1e7c1294d04fa6e4a2685624,Sapphire Reserve Business,CHASE,VISA,CHASE,true,795.0,false,1.0,150000,1500.0,20000,90,false,1.0,https://creditcards.chase.com/business-credit-cards/sapphire/reserve,false,
dcafcac45d86331a7f6b9cfdb980b81e,Aer Lingus Signature,CHASE,VISA,AVIOS,false,95.0,false,1.0,75000,750.0,5000,90,true,1.0,https://creditcards.chase.com/travel-credit-cards/avios/aer-lingus,false,jpmorgan-chase-bank-aer-lingus-visa-signature
7662e34a89a906b869b93bb12a2e1b3b,Aeroplan,CHASE,MASTERCARD,AEROPLAN,false,95.0,false,1.0,85000,850.0,4000,90,true,1.0,https://creditcards.chase.com/travel-credit-cards/aircanada/aeroplan,false,jpmorgan-chase-bank-chase-aeroplan-card
7b06f0b6a307509b71862ffa5933ef0b,British Airways Signature,CHASE,VISA,AVIOS,false,95.0,false,1.0,90000,900.0,5000,90,true,1.0,https://creditcards.chase.com/travel-credit-cards/avios/british-airways,false,jpmorgan-chase-bank-british-airways-visa-signature
